job_id,job_title,min_years,min_education,required_skills,optional_skills,job_text
J001,AI Product Analyst,6,phd,project management;docker;deep learning;azure;nlp,leadership;python,"Role AI Product Analyst requires at least 6 years experience. Required skills: project management, docker, deep learning, azure, nlp. Preferred skills: leadership, python. Minimum education: phd."
J002,AI Product Analyst,2,bachelor,fastapi;nlp;machine learning;git;tableau;azure,leadership;project management;spark,"Role AI Product Analyst requires at least 2 years experience. Required skills: fastapi, nlp, machine learning, git, tableau, azure. Preferred skills: leadership, project management, spark. Minimum education: bachelor."
J003,Analytics Lead,3,master,communication;git;project management,nlp;fastapi;aws,"Role Analytics Lead requires at least 3 years experience. Required skills: communication, git, project management. Preferred skills: nlp, fastapi, aws. Minimum education: master."
J004,Analytics Lead,4,master,deep learning;project management;nlp,aws;git;power bi,"Role Analytics Lead requires at least 4 years experience. Required skills: deep learning, project management, nlp. Preferred skills: aws, git, power bi. Minimum education: master."
J005,Data Scientist,3,phd,machine learning;kubernetes;azure;streamlit;nlp,tableau;fastapi;project management,"Role Data Scientist requires at least 3 years experience. Required skills: machine learning, kubernetes, azure, streamlit, nlp. Preferred skills: tableau, fastapi, project management. Minimum education: phd."
J006,Backend Engineer,5,phd,git;power bi;sql;python,streamlit,"Role Backend Engineer requires at least 5 years experience. Required skills: git, power bi, sql, python. Preferred skills: streamlit. Minimum education: phd."
J007,ML Engineer,8,bachelor,git;python;leadership;tableau;project management;docker,etl,"Role ML Engineer requires at least 8 years experience. Required skills: git, python, leadership, tableau, project management, docker. Preferred skills: etl. Minimum education: bachelor."
J008,AI Product Analyst,6,phd,communication;spark;leadership;git,power bi;nlp,"Role AI Product Analyst requires at least 6 years experience. Required skills: communication, spark, leadership, git. Preferred skills: power bi, nlp. Minimum education: phd."
J009,Backend Engineer,5,master,etl;nlp;statistics;project management;deep learning,docker;communication,"Role Backend Engineer requires at least 5 years experience. Required skills: etl, nlp, statistics, project management, deep learning. Preferred skills: docker, communication. Minimum education: master."
J010,Data Scientist,6,bachelor,deep learning;sql;tableau;etl,spark;docker;aws;power bi,"Role Data Scientist requires at least 6 years experience. Required skills: deep learning, sql, tableau, etl. Preferred skills: spark, docker, aws, power bi. Minimum education: bachelor."
J011,Backend Engineer,8,bachelor,project management;communication;leadership;tableau;fastapi;python,etl,"Role Backend Engineer requires at least 8 years experience. Required skills: project management, communication, leadership, tableau, fastapi, python. Preferred skills: etl. Minimum education: bachelor."
J012,BI Engineer,7,bachelor,sql;git;tableau;leadership;project management,fastapi;python;deep learning,"Role BI Engineer requires at least 7 years experience. Required skills: sql, git, tableau, leadership, project management. Preferred skills: fastapi, python, deep learning. Minimum education: bachelor."
J013,Analytics Lead,2,master,etl;statistics;sql;git;fastapi,azure;tableau,"Role Analytics Lead requires at least 2 years experience. Required skills: etl, statistics, sql, git, fastapi. Preferred skills: azure, tableau. Minimum education: master."
J014,Analytics Lead,3,bachelor,fastapi;kubernetes;deep learning;nlp;git;azure,power bi;statistics,"Role Analytics Lead requires at least 3 years experience. Required skills: fastapi, kubernetes, deep learning, nlp, git, azure. Preferred skills: power bi, statistics. Minimum education: bachelor."
J015,Analytics Lead,3,phd,project management;sql;streamlit;fastapi;nlp;statistics,leadership;communication,"Role Analytics Lead requires at least 3 years experience. Required skills: project management, sql, streamlit, fastapi, nlp, statistics. Preferred skills: leadership, communication. Minimum education: phd."
J016,BI Engineer,8,phd,power bi;git;aws;etl,tableau;streamlit;project management,"Role BI Engineer requires at least 8 years experience. Required skills: power bi, git, aws, etl. Preferred skills: tableau, streamlit, project management. Minimum education: phd."
J017,ML Engineer,4,phd,python;statistics;power bi;deep learning;spark;tableau,leadership;kubernetes,"Role ML Engineer requires at least 4 years experience. Required skills: python, statistics, power bi, deep learning, spark, tableau. Preferred skills: leadership, kubernetes. Minimum education: phd."
J018,Data Scientist,6,master,aws;project management;etl;nlp;docker;python,deep learning;azure;communication,"Role Data Scientist requires at least 6 years experience. Required skills: aws, project management, etl, nlp, docker, python. Preferred skills: deep learning, azure, communication. Minimum education: master."
J019,NLP Engineer,6,phd,azure;spark;project management;leadership;sql;statistics,,"Role NLP Engineer requires at least 6 years experience. Required skills: azure, spark, project management, leadership, sql, statistics. Preferred skills: . Minimum education: phd."
J020,BI Engineer,5,phd,power bi;aws;communication;git;statistics;project management,kubernetes;leadership;azure;docker,"Role BI Engineer requires at least 5 years experience. Required skills: power bi, aws, communication, git, statistics, project management. Preferred skills: kubernetes, leadership, azure, docker. Minimum education: phd."
J021,Data Analyst,5,master,tableau;git;azure;leadership,statistics;fastapi,"Role Data Analyst requires at least 5 years experience. Required skills: tableau, git, azure, leadership. Preferred skills: statistics, fastapi. Minimum education: master."
J022,Backend Engineer,8,bachelor,etl;statistics;nlp;tableau;sql;fastapi,machine learning;communication;kubernetes,"Role Backend Engineer requires at least 8 years experience. Required skills: etl, statistics, nlp, tableau, sql, fastapi. Preferred skills: machine learning, communication, kubernetes. Minimum education: bachelor."
J023,Backend Engineer,4,phd,fastapi;kubernetes;nlp;deep learning;docker,sql;project management,"Role Backend Engineer requires at least 4 years experience. Required skills: fastapi, kubernetes, nlp, deep learning, docker. Preferred skills: sql, project management. Minimum education: phd."
J024,NLP Engineer,3,master,deep learning;spark;power bi,leadership;nlp;python,"Role NLP Engineer requires at least 3 years experience. Required skills: deep learning, spark, power bi. Preferred skills: leadership, nlp, python. Minimum education: master."
J025,MLOps Engineer,1,bachelor,azure;tableau;power bi;streamlit;sql;communication,docker,"Role MLOps Engineer requires at least 1 years experience. Required skills: azure, tableau, power bi, streamlit, sql, communication. Preferred skills: docker. Minimum education: bachelor."
J026,BI Engineer,2,master,sql;etl;leadership;aws,tableau;python;git,"Role BI Engineer requires at least 2 years experience. Required skills: sql, etl, leadership, aws. Preferred skills: tableau, python, git. Minimum education: master."
J027,NLP Engineer,3,phd,fastapi;project management;leadership;nlp;communication;streamlit,deep learning;power bi,"Role NLP Engineer requires at least 3 years experience. Required skills: fastapi, project management, leadership, nlp, communication, streamlit. Preferred skills: deep learning, power bi. Minimum education: phd."
J028,AI Product Analyst,7,phd,aws;python;power bi;tableau;azure,git;etl,"Role AI Product Analyst requires at least 7 years experience. Required skills: aws, python, power bi, tableau, azure. Preferred skills: git, etl. Minimum education: phd."
